,Date,Piligrims,Tonsures,Hundi,Speciality,Temperature,Condition,ttd online darshan tickets: (Worldwide),Tirupati: (Worldwide),Tirumala: (Worldwide),VIP darshan: (Worldwide),How to reach Tirupati: (Worldwide),ttd sarva darshan tickets: (Worldwide),ttd free darshan online booking availability: (Worldwide),apsrtc tirumala darshan tickets: (Worldwide),apsrtc ttd 300 tickets: (Worldwide),ksrtc tirupati package: (Worldwide),srinivasam complex: (Worldwide),tirumala darshan tickets: (Worldwide),tirumala darshan: (Worldwide),tirupati balaji.ap.gov.in: (Worldwide),tirupati darshan 500 rupees ticket: (Worldwide),ttd free darshan online booking availability: (Worldwide)
146,27/05/2022,73358,35086,5.03,5,97,972,13,58,34,17,28,0,0,0,0,47,34,10,18,6,36,0
147,28/05/2022,89318,31050,4.41,0,97,1324,11,60,38,11,24,0,16,0,0,0,15,21,16,15,47,16
148,29/05/2022,90885,39208,5.43,5,88,1324,8,52,34,15,0,0,18,25,0,0,0,18,20,7,27,18
149,30/05/2022,74823,40504,4.83,7,91,862,8,64,38,0,0,44,0,25,0,0,13,13,22,12,27,0
150,31/05/2022,69848,41900,4.11,0,91,862,0,63,32,29,0,0,10,0,0,0,0,0,19,0,0,10
151,2022-01-06,71914,48539,3.76,5,97,862,8,67,37,36,0,0,0,0,0,0,0,17,24,6,0,0
152,2022-02-06,66001,35707,4.18,2,97,972,9,59,34,32,22,20,0,0,38,0,13,38,23,11,0,0
153,2022-03-06,71196,31159,4.51,4,97,972,3,63,38,41,59,0,0,62,0,0,34,15,16,27,22,0
154,2022-04-06,90165,28716,4.34,5,97,2689,14,59,34,8,68,18,0,28,0,19,0,28,17,13,0,0
155,2022-05-06,78188,37234,4.39,0,93,962,9,52,29,14,56,0,15,0,0,58,13,17,18,11,0,15
156,2022-06-06,76921,38831,4.01,0,95,1878,7,54,29,40,0,0,0,24,0,22,0,6,9,0,29,0
157,2022-07-06,76425,36936,3.45,0,95,862,8,57,28,28,0,0,0,19,0,0,0,14,13,8,0,0
158,2022-08-06,75345,43362,4.18,6,91,1291,11,65,32,20,34,0,0,0,37,0,37,0,14,9,0,0
159,2022-09-06,70019,35427,3.94,5,95,1878,0,64,31,15,29,0,0,0,43,0,0,11,14,0,0,0
160,2022-10-06,67949,39568,4.4,0,95,1324,3,55,28,16,0,0,0,16,0,0,0,24,10,0,0,0
161,2022-11-06,87698,36053,4.15,0,91,1291,18,56,27,31,22,0,9,0,0,57,27,8,12,0,0,9
162,2022-12-06,93400,36091,4.52,5,95,1324,4,52,27,36,0,0,31,0,21,0,0,9,14,5,0,31
163,13/06/2022,78602,36124,3.52,7,90,1275,6,52,25,12,35,0,16,0,0,0,0,14,16,0,0,16
164,14/06/2022,79103,39837,3.7,6,97,1291,0,61,29,16,0,0,12,0,33,0,43,10,10,7,0,12
165,15/06/2022,77326,48804,3.88,0,97,1291,0,66,33,38,0,0,0,0,0,90,0,16,19,7,0,0
166,16/06/2022,73371,39451,3.75,2,97,1324,16,59,29,18,0,0,0,0,0,57,0,0,17,6,0,0
167,17/06/2022,76407,42423,4.32,5,97,1291,0,53,30,38,0,0,6,0,30,36,0,22,13,0,0,6
168,18/06/2022,84982,37292,4.42,6,95,1291,0,51,28,19,0,0,0,0,0,26,0,18,17,5,53,0
169,19/06/2022,90471,38742,4.36,0,91,1324,0,53,31,26,0,0,10,0,0,0,17,20,21,0,0,10
170,20/06/2022,76597,39924,4.14,0,90,1878,25,54,28,18,21,13,10,0,0,26,0,10,15,0,0,10
171,21/06/2022,74906,39938,4.28,0,86,1878,0,57,28,0,25,0,0,0,0,0,0,7,15,9,0,0
172,22/06/2022,75472,46679,4.42,6,86,1878,8,66,32,37,0,0,0,34,0,0,39,22,17,0,0,0
173,23/06/2022,68873,37039,4.13,0,88,2229,6,55,27,21,0,0,0,0,31,0,0,15,15,0,32,0
174,24/06/2022,71589,37759,4.47,5,88,1324,7,58,29,19,0,0,8,68,0,0,0,9,18,6,44,8
175,25/06/2022,71069,36138,4.07,0,86,2229,6,56,27,37,22,0,18,15,0,34,0,20,19,5,0,18
176,26/06/2022,88613,38335,3.87,5,86,2229,10,55,27,39,44,0,0,0,0,0,0,9,17,6,23,0
177,27/06/2022,74288,38952,4.44,0,84,2229,4,55,27,16,0,27,7,26,0,0,0,8,10,5,0,7
178,28/06/2022,77154,41240,4.3,7,88,1291,8,63,32,28,0,0,6,0,0,28,15,13,22,0,0,6
179,29/06/2022,70134,34741,4.27,0,90,1291,13,68,36,11,0,0,13,0,0,0,38,7,10,7,0,13
180,30/06/2022,65898,36153,4.24,2,93,1291,24,59,30,58,0,0,0,0,0,0,25,23,22,17,0,0
181,2022-01-07,64628,36473,4.46,1,93,1291,13,64,40,34,33,0,17,0,0,26,0,19,26,33,44,17
182,2022-02-07,88026,30182,4.62,4,90,1291,12,59,34,0,0,0,0,0,0,0,48,15,18,12,0,0
183,2022-03-07,88682,30059,4.26,0,88,1878,0,54,34,65,56,0,0,34,44,87,17,13,19,19,0,0
184,2022-04-07,77907,33686,3.66,3,91,962,0,57,29,16,0,0,0,33,0,85,12,16,13,15,0,0
185,2022-05-07,73439,41613,3.47,0,95,2229,13,58,31,34,0,27,23,0,41,0,41,24,22,8,0,23
186,2022-06-07,76418,50652,4.34,0,95,2229,0,66,35,25,24,0,0,0,49,0,0,18,22,6,0,0
