,Date,Piligrims,Tonsures,Hundi,Special Day,Temperature,Condition,Tweets
44,14/02/2022,DEF,XYZ,ABC,Punarvasu,+82°,Few clouds,"['\n??????? ????????? ??????? - ???? ????? ??????? 15 ?????? ???? ????? ????????????? ?????????!', '\n????? ????? ????????? ?????????? ????????? ??????????????? ??????.\n\n?????? 15??? ???????? ????.\n\n ???????,??????????,????????? ?????? ???? ?????????? ????????', '\n?????????? ?? ???????? ????? ???????? ???????? ?????????..???????? ???? ????? ???????, ????? ????????? ???????? ?????? ??????? \n@yvsubbareddymp\n ???? ???????', '\n??????:????? ????? ????????? ?????????? ??????? ?????? ??????????????? ??????. ?????? 15??? ???????? ????. ???????,??????????,????????? ?????? ???? ???????? ???? ?????????? ??????.']"
45,15/02/2022,"31,794","16,731",Rs.2.58 Cr,normal,+84°,Broken clouds,['\n????????????? ????? ????? ???? ????????????? ??????\n\n?????? ?????? ??????????????? ????????? ???? ????????????? ??????\n\n????? ???? 9 ??? ????? ???? ????? ?????????? ?????? ?????????\n\n???????????? 10 ?????? ???? ????? ????????????? ??????????? ?????? ']
46,16/02/2022,"39,691","18,303",Rs.2.23 Cr,"Purnima, Tirupati Sri G.T Float Ends, Sri Kumaradhara Teertha Mukkoti",+84°,Partly cloudy,['\nrest easy family we gone turn up like u want us to love u dawg ']
47,17/02/2022,"39,335","18,834",Rs.3.01 Cr,normal,+84°,Broken clouds,"[""\nReplying to \n@TylerDurden_\nIs Swamy vari prasadam served in 24/7?? Think wise . Bhaktulu eppuduyna food kavali ante prasadam kosam wait cheyyadam kastam kada. How does TTD asses the count of bhakth. It's not at all acceptable. They can do control over prices "", '\n???????? ???????????? ??? ????? ?????\n\n??????? ????? ?????????? ???? ???????? ?????\n\n???????? ??????? ???????? ????????\n\n- ?????? ??????? ???? ???????????? ????', '\n?????? ???? ?? ????? ???? ???????? ??????????? ??? ??????????? ?????? ???????.', '\n???????? ???????????? ??? ????? ?????\n\n- ?????? ??????? ???? ???????????? ', '\n???????? ????????\u200c ??????? ???????? ????????.. ??????? ????? ?????????? ???? ??????? ??? ????? ?????.. ?????? ?????????????? ????????????-?????? ???????\u200c ???? ????????????', '\n?????? ?? ??. 9 ????? 20 ?????? ??????']"
48,18/02/2022,"35,584","18,608",Rs.2.85 Cr,normal,+84°,Clear sky,[]
49,19/02/2022,"41,463","21,975",Rs.2.46 Cr,normal,+84°,Clear sky,['\n???????? ???????????? ??? ????? ????? ?????? ???????? ???? ??????.\n??? Vip ?? VVip ?? ??? ???? ??????? ??????? ??? ????? ?????? ????????? ?']
50,20/02/2022,"41,390","20,527",Rs.3.06 Cr,Srinivasa Mangapuram Sri KVS Brahmotsavam Begins,+90°,Clear sky,"['\nHeaven on earth \nTirumala', '\nMakes sense.', '\n""?????? ?????????? ??????? ????????? ??????????""..\n\n?????????? ???? ??????? ????? ?????? ?????, ???? ????? ??????? ??????? ????? ????? ????? ??????????..\n\n?? ??????..', '', '\n??? ??? ??????? ????????????? ???? ?????? ????????? ?????? ???????????? ?????? ?? ???????? ????????. ']"
51,21/02/2022,"39,619","21,846",Rs.3.40 Cr,normal,+91°,Partly cloudy,[]
52,22/02/2022,"38,000","17,778",Rs.3.10 Cr,Tirupati Sri KT Brahmotsavam Begins,+90°,Clear sky,"['\n???????????? ?????? ?????? ?? ??? ?? ????? ????  ??????? ?????? ????????? ???? \n\n50- 100 ?????? ?????? ??????? ?????????? \n1000,2000,3000, 50000 ?????? ??????? ??????? ?????????? ??? ???????? ??? ??????????? \n@ysjagan\n ', '\n???????? ??????  VS  ???? ....', '\n100/- ???? ??????-?????? ?? ?????? 500/- ?? ??????? ??? ??????? ??? ????????? ??????? ?????????? ?????? ?? ????????????  ???????? ??????????????? ??? ?????? ????, ?????????? ????????????? \n@ysjagan\n ', '', '\n??????? ?????? ?????? ???? ?????? ?????? ????. ??????? ???? ?????? ????? ???????? ??????? ???????? ?????? ???????? ????????? ????. \n\n??????? ???? ????? ???????... ??????? ???????? ????? ??????? ???????? ?????? ???????????? ? ???????. ?????? ??????? \n@yvsubbareddymp\n ????', '', '\n?????????? ?????????? ??????? ???????, \n?????? ??? ?????????? ???? ?????????? ??????? ???????? \n@AndhraPradeshCM\n16\n18\nJagan only\n@OnlyYSJagan\n·', '\n??????? ???????? ?????? ?????? ???? ??? ?????? ???????? ?????? ????. ????????? ??? ????? ???????? ??????? ???????? ????????? ????????. ?????????? ????????????? ???????? ?????. ? ????? ?????? ????????? ???? ????????.', '\n???? ?????? ???????, ???? ????? ???? ????? ??????????????? ???? ??????????????.\n\n???, ??? ??????? ????, ??????? ?????? ??????? ???????, ???? ????????????? ?????? ?????? ????????? ??? ?????? ?????????.', '\n????? ??????  ???????,?????? ???????? ???????? ""???????"" ?????????????? ', '\n????? ???????? ???????? ??????? ????????.. ??????? ???????? ???????? ?????? ????? ?????? ?????????? ????????? ??.?.?? ??????????? ????? ?????? ??????? ??????? ?????? ???????? ????????? ????????.. ', '\n?????\u200c?\u200c?? ????????????? ?????\u200c?? ???\u200c???????????..\n??????\u200c???? ????\u200c??? ???\u200c??????? ??????? ?????\u200c?? ??????????.\n???\u200c?????? ???????? ?????\u200c?? ???\u200c?????????? ???\u200c???? ?\u200c?\u200c?\u200c???? ?\u200c?????????.', '\n???????????? ???? ????????.. ??????? ???????? ????? ??? ??????? ?????? ???????????.. ?????????? ??????????? ??????????? ????????? ?????? ????????????.\n\n?????? ??????? ????????? ???? ??????? ? ???????? ????????????.']"
53,23/02/2022,"37,216","22,009",Rs.2.72 Cr,normal,+86°,Partly cloudy,"['\n?????? ???????\u200c???\u200c???? ?\u200c?\u200c?? ?????? ????? ??????. ???????? ???? ????????? ?????? ???? ????? ??????? ???????????????????. ??????? ?????? ????? ???????\u200c?\u200c?????? ???????? ???? ???? ????? ??????????. ?????? ?????????? ????????? ???\u200c???? ??????????-???? ?????? ', '\n????????? ???? ???????... ?????????? ??????.. ', '\n?????? ??????? ??????, ????? ?????? ?? ?????. ', ""\n???????? ???????-??????? '??????' ?? ??????????? ???? ???. P.S ???????????? ??????? ??? ???o '???' ?? ???? ????? ???????? ???????????? ???. ""]"
